"","age","year","meansize"
"205","1.3",1971,572.08200490191
"206","1.3",1972,569.61309395112
"207","1.3",1973,577.909293828589
"208","1.3",1974,563.373943244718
"209","1.3",1975,567.751067096935
"210","1.3",1976,576.322526631076
"211","1.3",1977,582.39119157929
"212","1.3",1978,577.528426270457
"213","1.3",1979,576.3296723463
"214","1.3",1980,566.313441346837
"215","1.3",1981,578.099957675656
"216","1.3",1982,576.012139479429
"217","1.3",1983,564.090994783571
"218","1.3",1984,566.371915547168
"219","1.3",1985,572.701921831091
"220","1.3",1986,572.837802694319
"221","1.3",1987,576.62629722917
"222","1.3",1988,580.331065571032
"223","1.3",1989,577.697764770628
"224","1.3",1990,563.290005696404
"225","1.3",1991,559.589608847198
"226","1.3",1992,554.001809198547
"227","1.3",1993,569.205482394067
"228","1.3",1994,556.015487852545
"229","1.3",1995,562.488220659176
"230","1.3",1996,574.132523909908
"231","1.3",1997,571.049673879816
"232","1.3",1998,555.103013562316
"233","1.3",1999,564.192985895498
"234","1.3",2000,566.666409754323
"235","1.3",2001,579.162023836065
"236","1.3",2002,573.139799878565
"237","1.3",2003,578.09443111455
"238","1.3",2004,570.683243970171
"239","1.3",2005,568.46635007538
"240","1.3",2006,553.806059979537
"241","1.3",2007,562.945432355248
"242","1.3",2008,548.66345922222
"243","1.3",2009,563.404809634967
"244","1.3",2010,559.030059181815
"245","1.3",2011,563.469769263339
"246","1.3",2012,555.014299186638
"247","1.3",2013,561.699234765764
"248","1.3",2014,556.904278161868
"249","1.3",2015,546.704807153419
"250","1.3",2016,547.98493156524
"251","1.3",2017,554.200225199764
"252","1.3",2018,545.946588745098
"253","1.3",2019,545.227902964103
"254","1.3",2020,535.064862950025
"255","1.4",1963,574.192546583851
"256","1.4",1964,537
"257","1.4",1965,548.804043545879
"258","1.4",1966,581.450365353769
"259","1.4",1967,585.186237768062
"260","1.4",1968,561.834297261515
"261","1.4",1969,531.447043811144
"262","1.4",1971,588.487000445699
"263","1.4",1972,574.559453702544
"264","1.4",1973,584.80263717567
"265","1.4",1974,587.697621608701
"266","1.4",1975,577.041155922515
"267","1.4",1976,598.67644496079
"268","1.4",1977,573.08910162003
"269","1.4",1978,601.517767648593
"270","1.4",1979,594.62412314887
"271","1.4",1980,567.427836674714
"272","1.4",1981,604.014967250163
"273","1.4",1982,593.955286777583
"274","1.4",1983,588.005147338239
"275","1.4",1984,582.277226740726
"276","1.4",1985,590.000878313638
"277","1.4",1986,586.618298270444
"278","1.4",1987,605.289916017159
"279","1.4",1988,597.054307628556
"280","1.4",1989,598.203336177709
"281","1.4",1990,583.175815699857
"282","1.4",1991,588.963376291331
"283","1.4",1992,578.701801166371
"284","1.4",1993,590.335402662482
"285","1.4",1994,583.897063538612
"286","1.4",1995,567.272825961427
"287","1.4",1996,590.136926778468
"288","1.4",1997,592.366459627329
"289","1.4",1998,583.121982619891
"290","1.4",1999,598.993671495414
"291","1.4",2000,583.985576670001
"292","1.4",2001,598.824429976555
"293","1.4",2002,595.748319211823
