"","age","year","meansize"
"222","1.3",1991,574.132523909908
"223","1.3",1992,571.049673879816
"224","1.3",1993,555.103013562316
"225","1.3",1994,564.192985895498
"226","1.3",1995,566.666409754323
"227","1.3",1996,579.162023836065
"228","1.3",1997,573.139799878565
"229","1.3",1998,578.09443111455
"230","1.3",1999,570.683243970171
"231","1.3",2000,568.46635007538
"232","1.3",2001,553.806059979537
"233","1.3",2002,562.945432355248
"234","1.3",2003,548.66345922222
"235","1.3",2004,563.404809634967
"236","1.3",2005,559.030059181815
"237","1.3",2006,563.469769263339
"238","1.3",2007,555.014299186638
"239","1.3",2008,561.699234765764
"240","1.3",2009,556.904278161868
"241","1.3",2010,546.704807153419
"242","1.3",2011,547.98493156524
"243","1.3",2012,554.200225199764
"244","1.3",2013,545.946588745098
"245","1.3",2014,545.227902964103
"246","1.4",1960,581.450365353769
"247","1.4",1961,585.186237768062
"248","1.4",1962,561.834297261515
"249","1.4",1963,531.447043811144
"250","1.4",1965,588.487000445699
"251","1.4",1966,574.559453702544
"252","1.4",1967,584.80263717567
"253","1.4",1968,587.697621608701
"254","1.4",1969,577.041155922515
"255","1.4",1970,598.67644496079
"256","1.4",1971,573.08910162003
"257","1.4",1972,601.517767648593
"258","1.4",1973,594.62412314887
"259","1.4",1974,567.427836674714
"260","1.4",1975,604.014967250163
"261","1.4",1976,593.955286777583
"262","1.4",1977,588.005147338239
"263","1.4",1978,582.277226740726
"264","1.4",1979,590.000878313638
"265","1.4",1980,586.618298270444
"266","1.4",1981,605.289916017159
"267","1.4",1982,597.054307628556
"268","1.4",1983,598.203336177709
"269","1.4",1984,583.175815699857
"270","1.4",1985,588.963376291331
"271","1.4",1986,578.701801166371
"272","1.4",1987,590.335402662482
"273","1.4",1988,583.897063538612
"274","1.4",1989,567.272825961427
"275","1.4",1990,590.136926778468
"276","1.4",1991,592.366459627329
"277","1.4",1992,583.121982619891
"278","1.4",1993,598.993671495414
"279","1.4",1994,583.985576670001
"280","1.4",1995,598.824429976555
"281","1.4",1996,595.748319211823
"282","1.4",1997,591.909219667648
"283","1.4",1998,595.733720622297
"284","1.4",1999,588.232349335094
"285","1.4",2000,583.153800560728
"286","1.4",2001,576.867142459175
"287","1.4",2002,571.00855198899
"288","1.4",2003,583.159591744866
"289","1.4",2004,576.217440719542
"290","1.4",2005,581.454027227382
"291","1.4",2006,588.653998216985
"292","1.4",2007,583.730563627088
"293","1.4",2008,588.529055262594
"294","1.4",2009,565.393694993083
"295","1.4",2010,565.291107113025
"296","1.4",2011,567.930949294966
"297","1.4",2012,559.228666797161
"298","1.4",2013,555.054999643477
"299","1.4",2014,562.439582824085
"300","2.1",1960,385.39231761238
"301","2.1",1961,375.354259259259
"302","2.1",1962,368.960281942269
"303","2.1",1963,358.956865956866
"304","2.1",1964,387.775433252681
"305","2.1",1965,374.424480890214
"306","2.1",1966,338.268243828497
"307","2.1",1967,402.255416539518
"308","2.1",1969,353.051558073654
"309","2.1",1970,350.266430824312
"310","2.1",1971,433.921074637758
"311","2.1",1972,378.984819950922
"312","2.1",1973,376.644724977457
"313","2.1",1974,394.837233876244
"314","2.1",1975,418.378059169077
"315","2.1",1976,396.580016697322
"316","2.1",1977,462.459758551308
"317","2.1",1978,376.800618769337
"318","2.1",1979,385.209124054531
"319","2.1",1980,378.195834767642
"320","2.1",1981,411.118056761733
"321","2.1",1982,360.609899255366
"322","2.1",1983,363.07155858339
"323","2.1",1984,372.67368519646
"324","2.1",1985,373.480108481643
"325","2.1",1986,362.031384043466
